s_split_01,5.647,900.0
s_split_02,10.980,50.140
s_split_04,10.999,900.0
s_split_07,11.947,900.0
s_split_10,3.241,51.637
s_split_14,18.185,45.605
s_split_15,10.318,53.913
s_split_17,12.974,900.0
s_split_18,5.317,49.606
s_split_26,7.764,900.0
s_split_28,9.771,900.0
s_split_29,26.938,900.0
s_split_30,16.193,900.0
s_split_36,5.619,106.937
s_split_37,9.126,43.899
s_split_43,7.229,47.689
s_split_44,14.451,900.0
s_split_46,6.552,900.0
s_split_48,9.177,900.0
s_split_49,7.910,900.0
s_split_51,14.697,900.0
s_split_52,10.347,900.0
s_split_54,8.349,900.0
s_split_57,32.678,900.0
